"marginalGSRK","n","landing","coverage"
"BDG",27,0,0.259259259259259
"BRG",12,0,0.166666666666667
"CRS",3,0,1
"ERK",55,0,0.563636363636364
"MNT",11,0,0.181818181818182
"MRO",1,0,1
"OSF",20,0,0.3
"TWL",129,0,0.403100775193798
"1981",37,0,0.351351351351351
"1982",92,0,0.423913043478261
"Q1",33,0,0.0303030303030303
"Q2",13,0,0.153846153846154
"Q3",37,0,0.810810810810811
"Q4",46,0,0.41304347826087
