"marginalSLGR","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.487730061349693
"CRS",50,0,0.26
"ERK",323,1894,0.0464396284829721
"MNT",108,0,0.453703703703704
"MRO",138,0,0.217391304347826
"OSF",29,0,0.206896551724138
"HKL",110,0,0.145454545454545
"NET",6,0,0.666666666666667
"TWL",867,1894,0.290657439446367
"1978",124,0,0.346774193548387
"1979",102,1894,0.196078431372549
"1980",271,0,0.483394833948339
"1981",237,0,0.223628691983122
"1982",249,0,0.100401606425703
"Q1",162,1894,0.197530864197531
"Q2",289,0,0.0865051903114187
"Q3",340,0,0.373529411764706
"Q4",192,0,0.458333333333333
