"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.193251533742331
"CRS",50,0,0.16
"ERK",323,1251,0.297213622291022
"MNT",108,0,0.166666666666667
"MRO",138,0,0.246376811594203
"OSF",29,0,0.482758620689655
"HKL",110,0,0.336363636363636
"NET",6,0,0.333333333333333
"TWL",867,1251,0.228373702422145
"1978",124,0,0.5
"1979",102,0,0.00980392156862745
"1980",271,0,0.180811808118081
"1981",237,0,0.274261603375527
"1982",249,1251,0.240963855421687
"Q1",162,0,0.401234567901235
"Q2",289,1251,0.238754325259516
"Q3",340,0,0.0323529411764706
"Q4",192,0,0.479166666666667
