species,mad
REDS,8.51096846156371e-06
SBLY,8.54556490415711e-06
GSPT,8.58622453753985e-06
ROSY,8.61776583433784e-06
ARRA,8.62266804917412e-06
FLAG,8.6919624625024e-06
GSRK,8.7608950306328e-06
SWSP,8.78646790485544e-06
RSTN,8.79797937345061e-06
SHRP,8.9139409466082e-06
SNOS,9.17152215445309e-06
BLGL,9.18899371110516e-06
COPP,9.24483305126209e-06
STRK,9.26342203052305e-06
GRAS,9.27739266498727e-06
BRWN,9.29339862678442e-06
STAR,9.36756476648357e-06
GBLC,9.38305886062822e-06
RDBD,9.47178985003326e-06
POP,9.58706132087721e-06
YTRK,9.63778029049549e-06
MXRF,9.67490743865933e-06
OLVE,1.04890252222816e-05
BANK,1.07824005621912e-05
TIGR,1.11242639988935e-05
CWCD,1.18746160523603e-05
BLUR,1.19623399255512e-05
BLCK,1.22333092132875e-05
CLPR,1.27370821912823e-05
WDOW,1.28246484874226e-05
VRML,1.32311358320418e-05
DBRK,1.36211143353731e-05
YEYE,1.3805647041254e-05
REYE,1.44433514056026e-05
BCAC,1.64066730624877e-05
CNRY,1.67172181182895e-05
QLBK,1.68316743533603e-05
BRNZ,2.76616945586275e-05
SPKL,3.24338472422232e-05
YMTH,3.53202023691948e-05
SLGR,4.27516224441868e-05
