"marginalDBRK","n","landing","coverage"
"BDG",27,0,0.666666666666667
"BRG",12,0,0.833333333333333
"CRS",3,0,1
"ERK",55,0,0.563636363636364
"MNT",11,0,0.363636363636364
"MRO",1,0,1
"OSF",20,0,0.35
"TWL",129,0,0.573643410852713
"1981",37,0,0.918918918918919
"1982",92,0,0.434782608695652
"Q1",33,0,0.454545454545455
"Q2",13,0,0.846153846153846
"Q3",37,0,0.378378378378378
"Q4",46,0,0.739130434782609
