"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,432,0.343558282208589
"CRS",50,0,0.26
"ERK",323,0,0.151702786377709
"MNT",108,0,0.259259259259259
"MRO",138,0,0.195652173913043
"OSF",29,0,0.413793103448276
"HKL",110,0,0.2
"NET",6,0,0.666666666666667
"TWL",867,432,0.257208765859285
"1978",124,163,0.298387096774194
"1979",102,0,0.362745098039216
"1980",271,269,0.0811808118081181
"1981",237,0,0.244725738396624
"1982",249,0,0.381526104417671
"Q1",162,0,0.203703703703704
"Q2",289,0,0.190311418685121
"Q3",340,269,0.323529411764706
"Q4",192,163,0.265625
