"marginalDBRK","n","landing","coverage"
"BDG",27,0,0.666666666666667
"BRG",12,0,0.5
"CRS",3,0,1
"ERK",55,0,0.581818181818182
"MNT",11,0,0.181818181818182
"MRO",1,0,1
"OSF",20,0,0.1
"TWL",129,0,0.496124031007752
"1981",37,0,0.567567567567568
"1982",92,0,0.467391304347826
"Q1",33,0,0.0303030303030303
"Q2",13,0,1
"Q3",37,0,0.648648648648649
"Q4",46,0,0.565217391304348
