margREDS,n,landing,coverage
BDG,9,0,1
BRG,326,4464,0.662576687116564
CRS,50,0,0.56
ERK,323,4155,0.795665634674923
MNT,108,0,0.657407407407407
MRO,138,0,0.702898550724638
OSF,29,0,0.793103448275862
HKL,110,0,0.736363636363636
NET,6,0,0.666666666666667
TWL,867,8619,0.710495963091119
1978,124,0,0.588709677419355
1979,102,0,0.686274509803922
1980,271,3996,0.723247232472325
1981,237,468,0.831223628691983
1982,249,4155,0.662650602409639
Q1,162,468,0.919753086419753
Q2,289,7030,0.685121107266436
Q3,340,0,0.802941176470588
Q4,192,1121,0.421875
