margRSTN,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,1338,0.570552147239264
CRS,50,157,0.48
ERK,323,291,0.693498452012384
MNT,108,0,0.805555555555556
MRO,138,0,0.826086956521739
OSF,29,0,0.586206896551724
HKL,110,0,0.981818181818182
NET,6,0,0.666666666666667
TWL,867,1786,0.632064590542099
1978,124,47,0.766129032258065
1979,102,244,0.686274509803922
1980,271,0,0.608856088560886
1981,237,0,0.624472573839662
1982,249,1495,0.730923694779116
Q1,162,0,0.716049382716049
Q2,289,1582,0.44636678200692
Q3,340,204,0.767647058823529
Q4,192,0,0.802083333333333
