margSLGR,n,landing,coverage
BDG,12,0,0.333333333333333
BRG,401,0,0.0872817955112219
CRS,60,0,0.266666666666667
ERK,459,1894,0.0065359477124183
MNT,163,0,0.0858895705521472
MRO,164,0,0.292682926829268
OSF,36,0,0.222222222222222
HKL,124,0,0.258064516129032
NET,14,0,0
TWL,1157,1894,0.0829732065687122
1978,124,0,0.032258064516129
1979,102,1894,0.0980392156862745
1980,271,0,0.103321033210332
1981,237,0,0.0464135021097046
1982,249,0,0.124497991967871
1983,312,0,0.141025641025641
Q1,228,1894,0.0745614035087719
Q2,390,0,0.0769230769230769
Q3,437,0,0.128146453089245
Q4,240,0,0.104166666666667
