"marginalTIGR","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.363636363636364
"MRO",64,0,0.3125
"OSF",52,4022,0.307692307692308
"HKL",1,0,0
"NET",8,0,0.125
"TWL",201,4022,0.333333333333333
"1978",57,0,0.175438596491228
"1980",61,0,0.524590163934426
"1981",42,4022,0.119047619047619
"1982",50,0,0.42
"Q1",43,0,0.0232558139534884
"Q2",73,0,0.356164383561644
"Q3",54,0,0.592592592592593
"Q4",40,4022,0.225
