margSTRK,n,landing,coverage
BDG,31,3483,1
BRG,420,131512,0.992857142857143
CRS,73,11192,0.945205479452055
ERK,533,71003,0.956848030018762
MNT,249,30177,0.983935742971888
MRO,201,23,1
OSF,65,4362,1
HKL,128,0,1
NET,24,0,1
TWL,1420,251752,0.976056338028169
1978,124,25258,0.975806451612903
1979,102,67002,0.970588235294118
1980,271,65546,0.977859778597786
1981,237,6271,1
1982,249,21885,0.971887550200803
1983,312,58745,0.958333333333333
1984,277,7045,0.992779783393502
Q1,277,31922,0.992779783393502
Q2,441,43949,0.977324263038549
Q3,534,90945,0.964419475655431
Q4,320,84936,0.990625
