margGSPT,n,landing,coverage
BRG,6,12101,0.5
MNT,88,3696,1
MRO,64,34600,0.984375
OSF,52,15814,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,66211,0.975124378109453
1978,57,6413,1
1980,61,20705,0.934426229508197
1981,42,37392,0.976190476190476
1982,50,1701,1
Q1,43,2118,1
Q2,73,20705,0.945205479452055
Q3,54,31249,0.981481481481482
Q4,40,12139,1
