margCBZN,n,landing,coverage
BDG,31,0,0.451612903225806
BRG,420,0,0.935714285714286
CRS,73,0,0.767123287671233
ERK,533,0,0.947467166979362
MNT,249,0,0.823293172690763
MRO,201,125,0.935323383084577
OSF,65,0,1
HKL,128,125,0.9609375
NET,24,0,0.666666666666667
TWL,1420,0,0.906338028169014
1978,124,0,0.830645161290323
1979,102,125,0.990196078431373
1980,271,0,0.948339483394834
1981,237,0,0.881856540084388
1982,249,0,0.963855421686747
1983,312,0,0.974358974358974
1984,277,0,0.765342960288809
Q1,277,0,0.967509025270758
Q2,441,125,0.961451247165533
Q3,534,0,0.868913857677903
Q4,320,0,0.84375
