margCBZN,n,landing,coverage
BDG,31,0,0.0645161290322581
BRG,420,0,0.221428571428571
CRS,73,0,0.356164383561644
ERK,533,0,0.219512195121951
MNT,249,0,0.27710843373494
MRO,201,125,0.318407960199005
OSF,65,0,0.230769230769231
HKL,128,125,0.21875
NET,24,0,0.125
TWL,1420,0,0.25
1978,124,0,0.338709677419355
1979,102,125,0.294117647058824
1980,271,0,0.350553505535055
1981,237,0,0.029535864978903
1982,249,0,0.132530120481928
1983,312,0,0.330128205128205
1984,277,0,0.274368231046931
Q1,277,0,0.173285198555957
Q2,441,125,0.45124716553288
Q3,534,0,0.144194756554307
Q4,320,0,0.19375
