"marginalRSTN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,1338,0.996932515337423
"CRS",50,157,1
"ERK",323,291,0.993808049535604
"MNT",108,0,1
"MRO",138,0,1
"OSF",29,0,1
"HKL",110,0,1
"NET",6,0,1
"TWL",867,1786,0.996539792387543
"1978",124,47,0.991935483870968
"1979",102,244,0.990196078431373
"1980",271,0,1
"1981",237,0,1
"1982",249,1495,0.995983935742972
"Q1",162,0,1
"Q2",289,1582,0.993079584775087
"Q3",340,204,0.997058823529412
"Q4",192,0,1
