margPNKR,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,745,0.420454545454545
MRO,64,0,0.40625
OSF,52,0,0.326923076923077
HKL,1,0,1
NET,8,0,0
TWL,201,745,0.398009950248756
1978,57,745,0.43859649122807
1980,61,0,0.295081967213115
1981,42,0,0.380952380952381
1982,50,0,0.44
Q1,43,745,0.232558139534884
Q2,73,0,0.328767123287671
Q3,54,0,0.444444444444444
Q4,40,0,0.575
