margBLGL,n,landing,coverage
BDG,9,0,1
BRG,326,135212,0.285276073619632
CRS,50,0,0.62
ERK,323,0,0.198142414860681
MNT,108,78868,0.231481481481481
MRO,138,160609,0.652173913043478
OSF,29,5250,0.724137931034483
HKL,110,46463,0.945454545454545
NET,6,114146,0
TWL,867,219330,0.264129181084198
1978,124,4619,0.395161290322581
1979,102,53466,0.441176470588235
1980,271,131418,0.132841328413284
1981,237,18681,0.493670886075949
1982,249,171755,0.345381526104418
Q1,162,94607,0.623456790123457
Q2,289,80060,0.352941176470588
Q3,340,146438,0.285294117647059
Q4,192,58834,0.171875
