"marginalSWSP","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,0,0.996932515337423
"CRS",50,0,0.96
"ERK",323,0,1
"MNT",108,0,0.916666666666667
"MRO",138,0,0.91304347826087
"OSF",29,0,0.827586206896552
"HKL",110,0,1
"NET",6,0,1
"TWL",867,0,0.963091118800461
"1978",124,0,0.983870967741935
"1979",102,0,0.990196078431373
"1980",271,0,0.948339483394834
"1981",237,0,0.987341772151899
"1982",249,0,0.951807228915663
"Q1",162,0,0.993827160493827
"Q2",289,0,0.934256055363322
"Q3",340,0,0.982352941176471
"Q4",192,0,0.96875
