margSPKL,n,landing,coverage
BDG,52,0,1
BRG,51,0,1
CRS,22,0,1
ERK,165,0,1
MNT,21,0,0.952380952380952
MRO,6,13438,0.833333333333333
OSF,29,20717,0.896551724137931
NET,9,20717,0.666666666666667
TWL,337,13438,0.99406528189911
1981,37,0,1
1982,92,13438,0.978260869565217
1983,73,0,1
1984,69,0,1
1985,75,20717,0.96
Q1,108,0,1
Q2,79,12603,0.987341772151899
Q3,90,21552,0.966666666666667
Q4,69,0,0.985507246376812
