margBLUR,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.897727272727273
MRO,64,0,1
OSF,52,0,0.942307692307692
HKL,1,0,1
NET,8,0,0.5
TWL,201,0,0.960199004975124
1978,57,0,0.912280701754386
1980,61,0,1
1981,42,0,0.928571428571429
1982,50,0,0.92
Q1,43,0,0.906976744186046
Q2,73,0,0.931506849315068
Q3,54,0,1
Q4,40,0,0.925
