margARRA,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.511363636363636
MRO,64,5603,0.953125
OSF,52,1155,0.865384615384615
HKL,1,0,1
NET,8,0,1
TWL,201,6758,0.736318407960199
1978,57,0,0.912280701754386
1980,61,5257,0.721311475409836
1981,42,0,0.928571428571429
1982,50,1501,0.44
Q1,43,1501,0.86046511627907
Q2,73,1155,0.726027397260274
Q3,54,0,0.685185185185185
Q4,40,4102,0.75
