"marginalTIGR","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.511363636363636
"MRO",64,0,0
"OSF",52,4022,0.173076923076923
"HKL",1,0,0
"NET",8,0,0
"TWL",201,4022,0.26865671641791
"1978",57,0,0.43859649122807
"1980",61,0,0.114754098360656
"1981",42,4022,0.0952380952380952
"1982",50,0,0.36
"Q1",43,0,0.302325581395349
"Q2",73,0,0.342465753424658
"Q3",54,0,0
"Q4",40,4022,0.4
