"marginalRSTN","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,1338,0.368098159509202
"CRS",50,157,0.6
"ERK",323,291,0.845201238390093
"MNT",108,0,0.62037037037037
"MRO",138,0,0.449275362318841
"OSF",29,0,0.379310344827586
"HKL",110,0,0.418181818181818
"NET",6,0,0.5
"TWL",867,1786,0.595155709342561
"1978",124,47,0.451612903225806
"1979",102,244,0.57843137254902
"1980",271,0,0.645756457564576
"1981",237,0,0.60337552742616
"1982",249,1495,0.530120481927711
"Q1",162,0,0.574074074074074
"Q2",289,1582,0.664359861591695
"Q3",340,204,0.452941176470588
"Q4",192,0,0.65625
