"marginalSSPN","n","landing","coverage"
"BDG",9,0,1
"BRG",326,5376,0.932515337423313
"CRS",50,0,0.94
"ERK",323,250,0.996904024767802
"MNT",108,1340,0.962962962962963
"MRO",138,17160,0.963768115942029
"OSF",29,1189,0.827586206896552
"HKL",110,0,1
"NET",6,0,1
"TWL",867,25315,0.953863898500577
"1978",124,250,0.991935483870968
"1979",102,0,1
"1980",271,6565,0.977859778597786
"1981",237,0,0.907172995780591
"1982",249,18500,0.955823293172691
"Q1",162,1189,0.944444444444444
"Q2",289,19275,0.913494809688581
"Q3",340,4851,0.997058823529412
"Q4",192,0,0.973958333333333
