margURCK,n,landing,coverage
BDG,9,0,0.555555555555556
BRG,326,0,0.141104294478528
CRS,50,44,0.18
ERK,323,0,0.0897832817337461
MNT,108,0,0.305555555555556
MRO,138,0,0.253623188405797
OSF,29,0,0.206896551724138
HKL,110,0,0.3
NET,6,0,0.166666666666667
TWL,867,44,0.14878892733564
1978,124,0,0.362903225806452
1979,102,0,0.352941176470588
1980,271,44,0.132841328413284
1981,237,0,0.029535864978903
1982,249,0,0.156626506024096
Q1,162,0,0.191358024691358
Q2,289,0,0.0795847750865052
Q3,340,44,0.244117647058824
Q4,192,0,0.135416666666667
