"marginalWDOW","n","landing","coverage"
"BDG",9,13218,1
"BRG",326,635196,0.969325153374233
"CRS",50,182129,0.98
"ERK",323,15744399,0.789473684210526
"MNT",108,570494,0.87962962962963
"MRO",138,219593,0.956521739130435
"OSF",29,788477,0.96551724137931
"HKL",110,208182,0.990909090909091
"NET",6,10917,0.666666666666667
"TWL",867,17934407,0.889273356401384
"1978",124,749148,0.943548387096774
"1979",102,2751370,0.882352941176471
"1980",271,10708990,0.856088560885609
"1981",237,3288416,0.864978902953586
"1982",249,655582,0.963855421686747
"Q1",162,4011229,0.87037037037037
"Q2",289,4284190,0.868512110726644
"Q3",340,4756660,0.929411764705882
"Q4",192,5101427,0.916666666666667
