"marginalTIGR","n","landing","coverage"
"BDG",9,2766,0.777777777777778
"BRG",326,0,0.371165644171779
"CRS",50,0,0.34
"ERK",323,0,0.312693498452012
"MNT",108,0,0.12962962962963
"MRO",138,0,0.41304347826087
"OSF",29,0,0.310344827586207
"HKL",110,0,0.481818181818182
"NET",6,0,0.166666666666667
"TWL",867,2766,0.313725490196078
"1978",124,0,0.0645161290322581
"1979",102,0,0.470588235294118
"1980",271,0,0.387453874538745
"1981",237,2766,0.316455696202532
"1982",249,0,0.36144578313253
"Q1",162,0,0.358024691358025
"Q2",289,0,0.290657439446367
"Q3",340,0,0.326470588235294
"Q4",192,2766,0.380208333333333
