"marginalBCAC","n","landing","coverage"
"BDG",9,689945,0.333333333333333
"BRG",326,4401338,0.634969325153374
"CRS",50,570089,0.86
"ERK",323,2934116,0.746130030959752
"MNT",108,2426405,0.592592592592593
"MRO",138,1605793,0.507246376811594
"OSF",29,1665847,0.413793103448276
"HKL",110,906394,0.618181818181818
"NET",6,20053,0.666666666666667
"TWL",867,13367086,0.655132641291811
"1978",124,1320166,0.564516129032258
"1979",102,1408999,0.676470588235294
"1980",271,2700181,0.715867158671587
"1981",237,5193394,0.691983122362869
"1982",249,3670793,0.57429718875502
"Q1",162,3371850,0.666666666666667
"Q2",289,3877067,0.681660899653979
"Q3",340,4274305,0.605882352941176
"Q4",192,2770311,0.671875
