margARRA,n,landing,coverage
BDG,9,0,1
BRG,326,2320,0.98159509202454
CRS,50,13055,0.9
ERK,323,17964,0.962848297213622
MNT,108,935,0.981481481481482
MRO,138,0,1
OSF,29,0,1
HKL,110,0,1
NET,6,0,1
TWL,867,34274,0.97116493656286
1978,124,224,0.991935483870968
1979,102,363,0.990196078431373
1980,271,5005,0.981549815498155
1981,237,11213,0.983122362869198
1982,249,17469,0.943775100401606
Q1,162,986,0.993827160493827
Q2,289,3980,0.975778546712803
Q3,340,5255,0.979411764705882
Q4,192,24053,0.947916666666667
