margGBLC,n,landing,coverage
BRG,6,0,0
MNT,88,0,0.227272727272727
MRO,64,15254,0.359375
OSF,52,0,0.115384615384615
HKL,1,0,1
NET,8,0,0.125
TWL,201,15254,0.233830845771144
1978,57,0,0.192982456140351
1980,61,4068,0.114754098360656
1981,42,8019,0.523809523809524
1982,50,3167,0.18
Q1,43,3167,0.0465116279069767
Q2,73,0,0.164383561643836
Q3,54,0,0.333333333333333
Q4,40,12087,0.425
