margFLAG,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.988636363636364
MRO,64,0,1
OSF,52,20292,0.807692307692308
HKL,1,0,1
NET,8,0,1
TWL,201,20292,0.945273631840796
1978,57,0,1
1980,61,0,0.852459016393443
1981,42,0,0.976190476190476
1982,50,20292,0.98
Q1,43,0,1
Q2,73,0,1
Q3,54,20292,0.851851851851852
Q4,40,0,0.925
