margFLAG,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,0,0.306818181818182
MRO,64,0,0.5
OSF,52,20292,0.442307692307692
HKL,1,0,0
NET,8,0,0.875
TWL,201,20292,0.378109452736318
1978,57,0,0.491228070175439
1980,61,0,0.19672131147541
1981,42,0,0.547619047619048
1982,50,20292,0.4
Q1,43,0,0.488372093023256
Q2,73,0,0.424657534246575
Q3,54,20292,0.388888888888889
Q4,40,0,0.25
