margRDBD,n,landing,coverage
BRG,6,0,1
MNT,88,0,0.863636363636364
MRO,64,2654,0.84375
OSF,52,2783,0.75
HKL,1,0,1
NET,8,0,1
TWL,201,5437,0.825870646766169
1978,57,2783,0.736842105263158
1980,61,0,0.852459016393443
1981,42,2654,0.928571428571429
1982,50,0,0.84
Q1,43,0,0.883720930232558
Q2,73,0,0.904109589041096
Q3,54,2783,0.740740740740741
Q4,40,2654,0.775
