margDBRK,n,landing,coverage
BDG,9,0,1
BRG,326,531408,0.920245398773006
CRS,50,377839,0.82
ERK,323,651570,0.842105263157895
MNT,108,7679,0.990740740740741
MRO,138,2352,1
OSF,29,5802,1
HKL,110,3589,1
NET,6,0,1
TWL,867,1573061,0.899653979238754
1978,124,78910,0.903225806451613
1979,102,233217,0.931372549019608
1980,271,322036,0.937269372693727
1981,237,619303,0.911392405063291
1982,249,323184,0.879518072289157
Q1,162,549140,0.932098765432099
Q2,289,386369,0.910034602076125
Q3,340,290371,0.920588235294118
Q4,192,350770,0.880208333333333
