margBRNZ,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.926380368098159
CRS,50,0,0.72
ERK,323,0,0.919504643962848
MNT,108,0,0.898148148148148
MRO,138,766,0.978260869565217
OSF,29,0,0.96551724137931
HKL,110,766,0.990909090909091
NET,6,0,1
TWL,867,0,0.910034602076125
1978,124,0,0.983870967741935
1979,102,766,0.735294117647059
1980,271,0,0.959409594095941
1981,237,0,0.856540084388186
1982,249,0,0.979919678714859
Q1,162,0,0.993827160493827
Q2,289,0,0.86159169550173
Q3,340,766,0.894117647058824
Q4,192,0,0.989583333333333
