margBRNZ,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.104294478527607
CRS,50,0,0.06
ERK,323,0,0.126934984520124
MNT,108,0,0.222222222222222
MRO,138,766,0.847826086956522
OSF,29,0,0.241379310344828
HKL,110,766,0.990909090909091
NET,6,0,0
TWL,867,0,0.134948096885813
1978,124,0,0.145161290322581
1979,102,766,0.470588235294118
1980,271,0,0.151291512915129
1981,237,0,0.151898734177215
1982,249,0,0.333333333333333
Q1,162,0,0.388888888888889
Q2,289,0,0.145328719723183
Q3,340,766,0.102941176470588
Q4,192,0,0.447916666666667
