margCNRY,n,landing,coverage
BDG,12,66834,0.75
BRG,401,2372141,0.596009975062344
CRS,60,1452507,0.45
ERK,459,1878361,0.605664488017429
MNT,163,21084,0.969325153374233
MRO,164,100136,0.884146341463415
OSF,36,7637,0.888888888888889
HKL,124,133981,0.82258064516129
NET,14,0,1
TWL,1157,5764719,0.667242869490061
1978,124,1259855,0.516129032258065
1979,102,626077,0.686274509803922
1980,271,615166,0.682656826568266
1981,237,1146147,0.734177215189873
1982,249,1500068,0.690763052208835
1983,312,751387,0.71474358974359
Q1,228,901414,0.780701754385965
Q2,390,2341487,0.666666666666667
Q3,437,2259996,0.627002288329519
Q4,240,395803,0.733333333333333
