margCNRY,n,landing,coverage
BDG,12,66834,1
BRG,401,2372141,0.940149625935162
CRS,60,1452507,0.8
ERK,459,1878361,0.930283224400871
MNT,163,21084,0.993865030674847
MRO,164,100136,0.99390243902439
OSF,36,7637,0.972222222222222
HKL,124,133981,0.983870967741935
NET,14,0,1
TWL,1157,5764719,0.940363007778738
1978,124,1259855,0.854838709677419
1979,102,626077,0.950980392156863
1980,271,615166,0.937269372693727
1981,237,1146147,0.970464135021097
1982,249,1500068,0.939759036144578
1983,312,751387,0.971153846153846
Q1,228,901414,0.973684210526316
Q2,390,2341487,0.92051282051282
Q3,437,2259996,0.931350114416476
Q4,240,395803,0.983333333333333
