margCNRY,n,landing,coverage
BDG,9,66834,1
BRG,326,1975794,0.969325153374233
CRS,50,1398777,0.9
ERK,323,1577283,0.96594427244582
MNT,108,20852,0.972222222222222
MRO,138,100136,1
OSF,29,7637,0.96551724137931
HKL,110,132906,0.990909090909091
NET,6,0,1
TWL,867,5014407,0.966551326412918
1978,124,1259855,0.959677419354839
1979,102,626077,0.990196078431373
1980,271,615166,0.966789667896679
1981,237,1146147,0.962025316455696
1982,249,1500068,0.975903614457831
Q1,162,848186,0.975308641975309
Q2,289,1937730,0.951557093425606
Q3,340,1978133,0.964705882352941
Q4,192,383264,1
