margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.708588957055215
CRS,50,1398777,0.62
ERK,323,1577283,0.730650154798762
MNT,108,20852,0.962962962962963
MRO,138,100136,0.847826086956522
OSF,29,7637,0.862068965517241
HKL,110,132906,0.827272727272727
NET,6,0,1
TWL,867,5014407,0.753171856978085
1978,124,1259855,0.604838709677419
1979,102,626077,0.764705882352941
1980,271,615166,0.782287822878229
1981,237,1146147,0.79746835443038
1982,249,1500068,0.78714859437751
Q1,162,848186,0.802469135802469
Q2,289,1937730,0.737024221453287
Q3,340,1978133,0.717647058823529
Q4,192,383264,0.848958333333333
