"marginalGRAS","n","landing","coverage"
"BDG",9,0,0.555555555555556
"BRG",326,0,0.880368098159509
"CRS",50,0,0.98
"ERK",323,1251,0.978328173374613
"MNT",108,0,1
"MRO",138,0,0.927536231884058
"OSF",29,0,0.931034482758621
"HKL",110,0,0.990909090909091
"NET",6,0,1
"TWL",867,1251,0.928489042675894
"1978",124,0,1
"1979",102,0,0.980392156862745
"1980",271,0,0.970479704797048
"1981",237,0,0.805907172995781
"1982",249,1251,0.971887550200803
"Q1",162,0,0.981481481481482
"Q2",289,1251,0.986159169550173
"Q3",340,0,0.902941176470588
"Q4",192,0,0.880208333333333
