margBCAC,n,landing,coverage
BDG,9,689945,0.777777777777778
BRG,326,4401338,0.938650306748466
CRS,50,570089,0.96
ERK,323,2934116,0.944272445820433
MNT,108,2426405,0.925925925925926
MRO,138,1605793,0.876811594202899
OSF,29,1665847,0.862068965517241
HKL,110,906394,0.918181818181818
NET,6,20053,1
TWL,867,13367086,0.928489042675894
1978,124,1320166,0.943548387096774
1979,102,1408999,0.92156862745098
1980,271,2700181,0.952029520295203
1981,237,5193394,0.89873417721519
1982,249,3670793,0.923694779116466
Q1,162,3371850,0.901234567901235
Q2,289,3877067,0.930795847750865
Q3,340,4274305,0.932352941176471
Q4,192,2770311,0.9375
