margWDOW,n,landing,coverage
BDG,9,13218,1
BRG,326,635196,0.978527607361963
CRS,50,182129,0.98
ERK,323,15744399,0.801857585139319
MNT,108,570494,0.953703703703704
MRO,138,219593,0.978260869565217
OSF,29,788477,0.96551724137931
HKL,110,208182,1
NET,6,10917,1
TWL,867,17934407,0.906574394463668
1978,124,749148,0.959677419354839
1979,102,2751370,0.892156862745098
1980,271,10708990,0.878228782287823
1981,237,3288416,0.890295358649789
1982,249,655582,0.975903614457831
Q1,162,4011229,0.919753086419753
Q2,289,4284190,0.875432525951557
Q3,340,4756660,0.941176470588235
Q4,192,5101427,0.9375
