margCNRY,n,landing,coverage
BDG,4,14902,0.5
BRG,6,33886,0.333333333333333
MNT,95,692,0.873684210526316
MRO,66,72433,0.909090909090909
OSF,63,90502,0.714285714285714
HKL,1,0,1
NET,8,692,0.875
TWL,225,211723,0.817777777777778
1978,57,19046,0.701754385964912
1980,61,83956,0.868852459016393
1981,42,63839,0.880952380952381
1982,50,30002,0.82
1983,18,670,0.944444444444444
1984,6,14902,0.666666666666667
Q1,51,28268,0.901960784313726
Q2,79,95888,0.810126582278481
Q3,59,76528,0.677966101694915
Q4,45,11731,0.933333333333333
