margTIGR,n,landing,coverage
BDG,9,2766,0.222222222222222
BRG,326,0,0.450920245398773
CRS,50,0,0.56
ERK,323,0,0.207430340557276
MNT,108,0,0.416666666666667
MRO,138,0,0.442028985507246
OSF,29,0,0.413793103448276
HKL,110,0,0.5
NET,6,0,0.5
TWL,867,2766,0.350634371395617
1978,124,0,0.209677419354839
1979,102,0,0.0294117647058824
1980,271,0,0.501845018450184
1981,237,2766,0.531645569620253
1982,249,0,0.285140562248996
Q1,162,0,0.530864197530864
Q2,289,0,0.318339100346021
Q3,340,0,0.314705882352941
Q4,192,2766,0.401041666666667
