"marginalDBRK","n","landing","coverage"
"BRG",6,0,0
"MNT",88,12714,0.613636363636364
"MRO",64,0,0.359375
"OSF",52,24474,0.230769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,37188,0.398009950248756
"1978",57,5723,0.578947368421053
"1980",61,24474,0.147540983606557
"1981",42,6991,0.619047619047619
"1982",50,0,0.42
"Q1",43,0,0.162790697674419
"Q2",73,0,0.602739726027397
"Q3",54,5723,0.222222222222222
"Q4",40,31465,0.65
