"marginalURCK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.901840490797546
"CRS",50,44,0.94
"ERK",323,0,0.625386996904025
"MNT",108,0,0.935185185185185
"MRO",138,0,0.818840579710145
"OSF",29,0,1
"HKL",110,0,0.945454545454545
"NET",6,0,0
"TWL",867,44,0.797001153402538
"1978",124,0,0.798387096774194
"1979",102,0,0.990196078431373
"1980",271,44,0.708487084870849
"1981",237,0,0.881856540084388
"1982",249,0,0.779116465863454
"Q1",162,0,0.839506172839506
"Q2",289,0,0.865051903114187
"Q3",340,44,0.908823529411765
"Q4",192,0,0.520833333333333
