margGSPT,n,landing,coverage
BDG,4,0,1
BRG,6,12101,0.5
MNT,95,3696,1
MRO,66,34600,0.96969696969697
OSF,63,15814,0.968253968253968
HKL,1,0,1
NET,8,0,1
TWL,225,66211,0.968888888888889
1978,57,6413,0.982456140350877
1980,61,20705,0.918032786885246
1981,42,37392,0.976190476190476
1982,50,1701,1
1983,18,0,1
1984,6,0,1
Q1,51,2118,1
Q2,79,20705,0.936708860759494
Q3,59,31249,0.966101694915254
Q4,45,12139,1
