"marginalGRAS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.966257668711656
"CRS",50,0,1
"ERK",323,1251,0.743034055727554
"MNT",108,0,0.722222222222222
"MRO",138,0,0.681159420289855
"OSF",29,0,0.862068965517241
"HKL",110,0,0.963636363636364
"NET",6,0,0
"TWL",867,1251,0.813148788927336
"1978",124,0,0.959677419354839
"1979",102,0,0.833333333333333
"1980",271,0,0.619926199261993
"1981",237,0,0.915611814345992
"1982",249,1251,0.891566265060241
"Q1",162,0,0.925925925925926
"Q2",289,1251,0.737024221453287
"Q3",340,0,0.844117647058824
"Q4",192,0,0.838541666666667
