margDBRK,n,landing,coverage
BDG,12,0,1
BRG,401,811982,0.817955112219451
CRS,60,633047,0.633333333333333
ERK,459,862552,0.745098039215686
MNT,163,27894,0.950920245398773
MRO,164,66368,0.963414634146341
OSF,36,5802,0.972222222222222
HKL,124,3589,0.991935483870968
NET,14,0,1
TWL,1157,2404056,0.80466724286949
1978,124,78910,0.830645161290323
1979,102,233217,0.911764705882353
1980,271,322036,0.88929889298893
1981,237,619303,0.856540084388186
1982,249,323184,0.795180722891566
1983,312,830995,0.737179487179487
Q1,228,673717,0.850877192982456
Q2,390,521480,0.823076923076923
Q3,437,590480,0.82837528604119
Q4,240,621968,0.795833333333333
