margOLVE,n,landing,coverage
BDG,56,3868,0.982142857142857
BRG,457,0,1
CRS,82,0,1
ERK,594,0,1
MNT,344,16896,0.991279069767442
MRO,266,25875,0.973684210526316
OSF,104,0,1
HKL,138,33491,0.942028985507246
NET,47,8058,0.978723404255319
TWL,1718,5090,0.9988358556461
1978,124,0,1
1979,102,4165,0.970588235294118
1980,271,6674,0.992619926199262
1981,237,374,0.9957805907173
1982,249,14129,0.991967871485944
1983,312,21297,0.990384615384615
1984,277,0,1
1985,331,0,1
Q1,339,3868,0.997050147492625
Q2,531,13074,0.990583804143126
Q3,645,28581,0.995348837209302
Q4,388,1116,0.994845360824742
