margRDBD,n,landing,coverage
BDG,9,0,1
BRG,326,58633,0.987730061349693
CRS,50,25892,0.92
ERK,323,273668,0.941176470588235
MNT,108,0,1
MRO,138,7743,1
OSF,29,0,1
HKL,110,7743,1
NET,6,0,1
TWL,867,358193,0.968858131487889
1978,124,19636,0.967741935483871
1979,102,15938,0.990196078431373
1980,271,48975,0.974169741697417
1981,237,264477,0.953586497890295
1982,249,16910,0.983935742971888
Q1,162,133253,0.969135802469136
Q2,289,61385,0.97923875432526
Q3,340,151536,0.961764705882353
Q4,192,19762,0.984375
