margREYE,n,landing,coverage
BDG,56,0,0.267857142857143
BRG,457,0,0.262582056892779
CRS,82,0,0.353658536585366
ERK,594,0,0.335016835016835
MNT,344,0,0.343023255813953
MRO,266,0,0.330827067669173
OSF,104,0,0.307692307692308
HKL,138,0,0.311594202898551
NET,47,0,0.25531914893617
TWL,1718,0,0.317811408614668
1978,124,0,0.209677419354839
1979,102,0,0.372549019607843
1980,271,0,0.439114391143911
1981,237,0,0.375527426160338
1982,249,0,0.309236947791165
1983,312,0,0.28525641025641
1984,277,0,0.263537906137184
1985,331,0,0.27190332326284
Q1,339,0,0.351032448377581
Q2,531,0,0.288135593220339
Q3,645,0,0.268217054263566
Q4,388,0,0.402061855670103
