margREYE,n,landing,coverage
BDG,56,0,1
BRG,457,0,0.989059080962801
CRS,82,0,0.963414634146341
ERK,594,0,0.998316498316498
MNT,344,0,0.968023255813954
MRO,266,0,0.969924812030075
OSF,104,0,0.913461538461538
HKL,138,0,0.978260869565217
NET,47,0,0.914893617021277
TWL,1718,0,0.982537834691502
1978,124,0,0.991935483870968
1979,102,0,0.980392156862745
1980,271,0,0.977859778597786
1981,237,0,0.9957805907173
1982,249,0,0.995983935742972
1983,312,0,0.967948717948718
1984,277,0,0.981949458483754
1985,331,0,0.966767371601209
Q1,339,0,0.955752212389381
Q2,531,0,0.992467043314501
Q3,645,0,0.993798449612403
Q4,388,0,0.963917525773196
