margKLPG,n,landing,coverage
BDG,4,0,0.75
BRG,6,0,1
MNT,95,337,0.378947368421053
MRO,77,0,0.480519480519481
OSF,63,0,0.333333333333333
HKL,1,0,1
NET,8,337,0.75
TWL,236,0,0.406779661016949
1978,57,337,0.263157894736842
1980,61,0,0.409836065573771
1981,42,0,0.404761904761905
1982,50,0,0.62
1983,18,0,0.277777777777778
1984,6,0,1
1985,11,0,0.363636363636364
Q1,55,0,0.509090909090909
Q2,86,337,0.430232558139535
Q3,59,0,0.593220338983051
Q4,45,0,0.0666666666666667
