margKLPG,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,337,0.968421052631579
MRO,77,0,0.948051948051948
OSF,63,0,1
HKL,1,0,1
NET,8,337,0.875
TWL,236,0,0.974576271186441
1978,57,337,0.982456140350877
1980,61,0,1
1981,42,0,0.857142857142857
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,0,1
Q1,55,0,1
Q2,86,337,0.965116279069767
Q3,59,0,0.932203389830508
Q4,45,0,1
