"marginalSBLY","n","landing","coverage"
"BRG",6,0,1
"MNT",88,3173,0.965909090909091
"MRO",64,249,0.984375
"OSF",52,6694,0.980769230769231
"HKL",1,0,1
"NET",8,0,1
"TWL",201,10116,0.975124378109453
"1978",57,3106,0.964912280701754
"1980",61,6429,0.983606557377049
"1981",42,249,0.976190476190476
"1982",50,332,0.98
"Q1",43,698,0.976744186046512
"Q2",73,0,1
"Q3",54,332,0.981481481481482
"Q4",40,9086,0.925
