"marginalCWCD","n","landing","coverage"
"BRG",6,0,1
"MNT",88,371,0.931818181818182
"MRO",64,11917,0.84375
"OSF",52,21861,0.807692307692308
"HKL",1,1490,0
"NET",8,0,1
"TWL",201,32659,0.875621890547264
"1978",57,22066,0.912280701754386
"1980",61,1490,0.836065573770492
"1981",42,10427,0.904761904761905
"1982",50,166,0.86
"Q1",43,1695,0.790697674418605
"Q2",73,21861,0.986301369863014
"Q3",54,0,0.962962962962963
"Q4",40,10593,0.65
