"marginalREX","n","landing","coverage"
"BRG",6,0,1
"MNT",88,311,0.965909090909091
"MRO",64,0,0.96875
"OSF",52,0,0.788461538461538
"HKL",1,0,1
"NET",8,0,1
"TWL",201,311,0.920398009950249
"1978",57,311,0.842105263157895
"1980",61,0,0.950819672131147
"1981",42,0,1
"1982",50,0,0.92
"Q1",43,311,0.976744186046512
"Q2",73,0,0.986301369863014
"Q3",54,0,0.833333333333333
"Q4",40,0,0.875
