margSTRK,n,landing,coverage
BRG,6,25251,1
MNT,88,1850,1
MRO,64,1439,0.984375
OSF,52,39177,0.961538461538462
HKL,1,0,1
NET,8,0,1
TWL,201,67717,0.985074626865672
1978,57,1241,1
1980,61,37899,0.967213114754098
1981,42,15416,1
1982,50,13161,0.98
Q1,43,0,1
Q2,73,24370,0.972602739726027
Q3,54,26690,0.981481481481482
Q4,40,16657,1
