margPOP,n,landing,coverage
BDG,27,0,0.666666666666667
BRG,12,0,0.833333333333333
CRS,3,0,1
ERK,55,0,0.4
MNT,11,0,0.818181818181818
MRO,1,0,1
OSF,20,0,0.3
TWL,129,0,0.534883720930233
1981,37,0,0.621621621621622
1982,92,0,0.5
Q1,33,0,0.303030303030303
Q2,13,0,0.307692307692308
Q3,37,0,0.756756756756757
Q4,46,0,0.58695652173913
