"marginalGSRK","n","landing","coverage"
"BRG",6,22139,0.333333333333333
"MNT",88,2153,0.965909090909091
"MRO",64,14497,0.921875
"OSF",52,10207,0.596153846153846
"HKL",1,0,0
"NET",8,0,1
"TWL",201,48996,0.840796019900497
"1978",57,1646,0.929824561403509
"1980",61,44261,0.704918032786885
"1981",42,580,0.976190476190476
"1982",50,2509,0.8
"Q1",43,3100,0.883720930232558
"Q2",73,23297,0.657534246575342
"Q3",54,22599,0.944444444444444
"Q4",40,0,1
