margGBLC,n,landing,coverage
BDG,9,0,0.333333333333333
BRG,326,0,0.432515337423313
CRS,50,0,0.82
ERK,323,0,0.386996904024768
MNT,108,0,0.574074074074074
MRO,138,37006,0.956521739130435
OSF,29,0,0.655172413793103
HKL,110,37006,0.854545454545454
NET,6,0,0.333333333333333
TWL,867,0,0.492502883506344
1978,124,0,0.483870967741935
1979,102,372,0.725490196078431
1980,271,1328,0.505535055350554
1981,237,0,0.50210970464135
1982,249,35306,0.534136546184739
Q1,162,5688,0.592592592592593
Q2,289,58,0.456747404844291
Q3,340,30556,0.497058823529412
Q4,192,704,0.65625
